Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Team_PTS,Opp_PTS
Creighton,5,2021,72,N,Ohio,13,W,72,58
Oklahoma,8,2021,72,N,Missouri,9,W,72,68
USC,6,2021,72,N,Drake,11,W,72,56
Gonzaga,1,2019,72,N,Florida State,4,W,72,58
Texas Tech,3,2019,72,N,Northern Kentucky,14,W,72,57
Texas A&M,7,2018,72,N,Michigan,3,L,72,99
Texas,6,2016,72,N,Northern Iowa,11,L,72,75
UNC,4,2015,72,N,Wisconsin,1,L,72,79
Wisconsin,1,2015,72,N,Oregon,8,W,72,65
Coastal Caro.,16,2015,72,N,Wisconsin,1,L,72,86
Texas Southern,15,2015,72,N,Arizona,2,L,72,93
VCU,7,2015,72,N,Ohio State,10,L,72,75
Maryland,4,2025,71,N,Florida,1,L,71,87
Colorado St.,12,2025,71,N,Maryland,4,L,71,72
Wagner,16,2024,71,N,Howard,16,W,71,68
Kansas,1,2023,71,N,Arkansas,8,L,71,72
Vermont,13,2022,71,N,Arkansas,4,L,71,75
Oklahoma,8,2021,71,N,Gonzaga,1,L,71,87
Baylor,9,2019,71,N,Gonzaga,1,L,71,83
Arizona,2,2017,71,N,Xavier,11,L,71,73
Notre Dame,5,2017,71,N,West Virginia,4,L,71,83
Duke,4,2016,71,N,Yale,12,W,71,64
Wisconsin,1,2015,71,N,Kentucky,1,W,71,64
Memphis,5,2025,70,N,Colorado State,12,L,70,78
UConn,4,2023,70,N,St. Mary's (CA),5,W,70,55
Arizona St.,11,2023,70,N,TCU,6,L,70,72
Grand Canyon,14,2023,70,N,Gonzaga,3,L,70,82
New Mexico St.,12,2022,70,N,Connecticut,5,W,70,63
Gonzaga,1,2021,70,N,Baylor,1,L,70,86
Florida,10,2019,70,N,Nevada,7,W,70,61
Xavier,1,2018,70,N,Florida State,9,L,70,75
Norfolk St.,16,2025,69,N,Florida,1,L,69,95
Michigan St.,9,2024,69,N,North Carolina,1,L,69,85
Michigan St.,9,2024,69,N,Mississippi State,8,W,69,51
Arkansas,4,2022,69,N,Duke,2,L,69,78
Gonzaga,1,2019,69,N,Texas Tech,3,L,69,75
Syracuse,8,2019,69,N,Baylor,9,L,69,78
